date,license_plate,score,dscore,vehicle_type
date,license_plate,score,dscore,vehicle_type
01/23/20 17:08:15,72c06133,0.9,0.861,Truck
01/23/20 17:08:25,72c06133,0.904,0.86,Truck
01/23/20 17:08:29,72c06133,0.9,0.863,Car
01/23/20 17:08:33,72c06133,0.906,0.863,Car
date,license_plate,score,dscore,vehicle_type
01/23/20 17:08:39,72c06133,0.909,0.836,Car
01/23/20 17:08:42,72c06133,0.909,0.837,Car
01/23/20 17:08:46,72c06133,0.91,0.837,Car
01/23/20 17:08:50,72c06133,0.909,0.836,Car
01/23/20 17:08:53,72c06133,0.908,0.833,Car
01/23/20 17:08:56,72c06133,0.908,0.836,Car
01/23/20 17:09:00,72c06133,0.908,0.834,Car
01/23/20 17:09:03,72c06133,0.907,0.837,Car
01/23/20 17:09:07,72c06133,0.908,0.838,Car
01/23/20 17:09:10,72c06133,0.906,0.838,Car
01/23/20 17:09:14,72c06133,0.906,0.84,Truck
01/23/20 17:09:19,72c06133,0.908,0.836,Car
01/23/20 17:09:22,72c06133,0.909,0.837,Car
01/23/20 17:09:26,72c06133,0.902,0.838,Car
01/23/20 17:09:31,72c06133,0.903,0.839,Car
01/23/20 17:09:35,72c06133,0.908,0.839,Car
01/23/20 17:09:38,72c06133,0.906,0.842,Car
01/23/20 17:09:42,72c06133,0.903,0.84,Car
01/23/20 17:09:45,72c06133,0.905,0.838,Car
01/23/20 17:09:49,72c06133,0.906,0.836,Car
01/23/20 17:09:52,72c06133,0.906,0.837,Car
01/23/20 17:09:56,72c06133,0.906,0.841,Car
01/23/20 17:09:59,72c06133,0.906,0.844,Car
01/23/20 17:10:03,72c06133,0.905,0.844,Car
01/23/20 17:10:06,72c06133,0.906,0.847,Car
01/23/20 17:10:10,72c06133,0.906,0.848,Car
01/23/20 17:10:13,72c06133,0.907,0.847,Car
01/23/20 17:10:17,72c06133,0.907,0.846,Car
01/23/20 17:10:21,72c06133,0.907,0.841,Car
01/23/20 17:10:25,72c06133,0.907,0.846,Car
01/23/20 17:10:29,72c06133,0.907,0.845,Car
01/23/20 17:10:32,72c06133,0.907,0.848,Truck
01/23/20 17:10:36,72c06133,0.907,0.849,Truck
01/23/20 17:10:40,72c06133,0.906,0.848,Car
01/23/20 17:10:43,72c06133,0.906,0.847,Truck
